age,YOE,college_bool,uni_tier,industry,sector,valuation,growth_rate,funding_round,investor_no,good_fit_bool,acquisition_chance,failure_chance,exit_amt,exit_time_period_yrs,potential_TAM,2x_prob_1yr,2x_prob_5yr,10x_prob_1yr,10x_prob_5yr
74,12,true,2,Radio And Television Broadcasting And Communications Equipment,Technology,40185469,73,4,7,true,45,34,30103192,4,52475129,39,74,21,22
50,10,true,1,Industrial Specialties,Health Care,10538891,77,4,9,false,4,32,9761723,4,26783040,48,97,43,79
48,18,true,3,Oil & Gas Production,Energy,46990418,80,1,3,true,19,15,55934018,4,43009199,44,52,38,12
37,11,false,3,n/a,n/a,38934152,67,2,0,false,34,34,71591503,5,94894377,39,44,21,87
43,3,false,1,n/a,n/a,34631725,88,2,7,false,67,13,90947370,4,71490476,28,80,37,8
19,7,false,1,n/a,n/a,32804396,55,3,4,false,65,20,97675666,3,92419290,20,62,35,5
71,11,false,2,Business Services,Miscellaneous,13573584,89,4,10,true,31,10,63298142,3,25913874,88,94,11,76
22,17,true,1,Computer Software: Prepackaged Software,Technology,34506972,75,3,0,false,34,20,12635329,3,49811726,87,94,11,75
28,9,true,1,Hospital/Nursing Management,Health Care,16300386,99,1,1,false,41,6,20744294,5,71825791,30,93,13,22
64,5,false,2,Telecommunications Equipment,Consumer Durables,27719496,92,2,9,true,24,23,39982379,5,86842740,15,48,27,59
52,3,false,2,Computer Software: Prepackaged Software,Technology,36649937,84,2,1,false,18,31,5651205,5,61456349,49,100,13,12
52,5,true,2,Major Pharmaceuticals,Health Care,45173620,76,1,1,true,61,25,57751980,4,60589445,24,47,22,63
45,18,true,3,n/a,n/a,4373688,50,2,9,false,15,28,32870599,3,7942303,16,58,14,31
49,0,true,1,Property-Casualty Insurers,Finance,26902150,25,4,6,false,39,4,73351635,4,5023451,56,83,17,95
34,4,true,3,Department/Specialty Retail Stores,Consumer Services,15296308,92,4,1,true,6,19,76358059,3,86527061,6,54,24,30
31,14,true,3,Major Pharmaceuticals,Health Care,237308,50,2,1,true,63,31,83880441,5,88497342,17,50,35,39
50,1,false,1,n/a,n/a,9001323,29,1,5,true,48,20,42527953,5,39717863,46,44,17,10
60,14,false,3,Major Pharmaceuticals,Health Care,14639581,12,1,9,true,46,23,30921007,3,85353923,48,58,28,35
75,5,true,1,Property-Casualty Insurers,Finance,575336,91,3,9,false,47,5,92445201,4,24154668,47,82,44,35
57,16,true,3,Business Services,Miscellaneous,32925951,50,1,5,true,35,7,73518706,5,18348070,57,41,40,61
26,2,false,3,n/a,n/a,36272840,7,4,0,true,27,20,11964235,4,33916803,22,76,24,16
34,5,true,3,Real Estate Investment Trusts,Consumer Services,27617082,65,1,5,false,4,10,40551085,4,81827673,90,91,24,73
51,4,false,3,Savings Institutions,Finance,46043752,63,4,6,false,8,18,89473099,5,85678220,11,37,20,56
73,9,false,1,Real Estate Investment Trusts,Consumer Services,27188094,22,2,3,true,61,11,83952827,4,99023234,78,97,14,66
69,9,false,2,Electrical Products,Capital Goods,42492711,78,4,10,true,25,18,27825020,5,68494013,73,64,37,21
31,8,true,2,Major Banks,Finance,3761174,30,1,9,false,68,12,74494060,3,75020013,45,85,6,9
40,4,true,3,Business Services,Finance,30719224,71,3,1,false,21,7,20577768,5,71927880,90,48,42,73
28,15,false,1,Biotechnology: Commercial Physical & Biological Resarch,Health Care,2915630,54,4,6,true,27,1,2395701,3,49076450,9,96,29,18
65,17,true,2,Finance: Consumer Services,Finance,23746572,95,3,7,true,46,24,48758913,4,46885378,52,90,23,87
41,12,true,3,Services-Misc. Amusement & Recreation,Consumer Services,44497022,32,3,6,false,12,10,57941614,5,65997366,88,53,28,16
62,16,true,2,Marine Transportation,Transportation,17788613,12,1,8,true,49,16,4850397,3,18251260,75,95,37,43
26,3,false,3,Industrial Machinery/Components,Technology,23621151,34,3,5,false,1,20,45140785,3,79950633,91,40,29,86
72,0,true,2,Paints/Coatings,Basic Industries,34324351,83,3,5,false,35,27,26528521,5,25627410,59,79,23,8
52,15,false,2,Industrial Machinery/Components,Capital Goods,43083683,87,4,8,true,30,17,86587247,3,22108093,75,59,33,38
29,11,true,1,n/a,n/a,23368071,10,2,9,false,33,24,43305217,3,98957650,94,69,12,16
49,15,false,1,Semiconductors,Technology,17158768,100,1,6,true,51,5,85917481,4,88145598,22,59,27,55
49,17,false,2,Savings Institutions,Finance,977103,33,2,1,false,24,1,19552504,5,30473517,18,97,39,42
49,11,true,3,Broadcasting,Consumer Services,19774798,57,3,5,false,3,29,31224581,4,52729991,32,72,34,81
74,12,false,2,Biotechnology: Laboratory Analytical Instruments,Capital Goods,48862300,70,4,5,true,15,7,38439819,4,91773594,76,62,12,37
35,5,true,1,Oil & Gas Production,Energy,22234243,5,4,2,true,7,29,24587334,4,81255072,31,70,30,37
65,15,true,3,Shoe Manufacturing,Consumer Non-Durables,9045854,69,1,4,false,67,25,39216467,4,15652313,82,36,21,17
54,11,false,3,n/a,n/a,17097890,45,4,0,true,52,29,84407462,3,38327406,94,30,24,21
55,4,false,2,Major Banks,Finance,47421957,26,4,3,false,68,15,89610742,5,78437453,72,31,13,67
70,8,false,2,Integrated oil Companies,Energy,17719985,57,3,9,false,54,20,57245936,5,90139497,74,41,7,27
67,17,true,1,Computer Manufacturing,Technology,14920885,81,2,8,false,36,27,22563654,5,80836232,95,68,32,79
45,11,false,1,Telecommunications Equipment,Public Utilities,10380726,45,3,2,false,44,26,10675676,4,12328012,84,58,43,69
23,10,true,1,Specialty Foods,Consumer Non-Durables,36435823,96,1,8,true,47,25,18848790,4,5283590,92,87,5,24
71,9,false,1,Broadcasting,Consumer Services,24920157,26,3,5,false,32,20,28030389,3,46476748,71,86,12,84
57,13,false,2,Television Services,Consumer Services,33842157,28,3,6,false,67,4,4040064,5,74404442,66,37,13,31
72,2,false,2,n/a,n/a,20375658,51,3,1,true,20,26,58370653,3,99056781,17,90,27,24
61,19,false,1,Publishing,Consumer Durables,15165804,37,4,5,false,42,33,60358420,5,68774130,6,48,28,13
71,14,true,2,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,7701849,24,3,0,false,45,32,43473918,5,66256858,34,56,20,94
19,19,true,2,n/a,n/a,8651791,88,1,10,true,7,1,28525609,5,18697887,51,92,37,77
22,0,true,3,Major Pharmaceuticals,Health Care,19220745,45,1,3,false,11,18,3578296,5,14310360,6,85,12,40
37,4,false,1,Industrial Specialties,Health Care,39503472,33,4,0,false,11,6,11273110,5,26056183,39,81,19,29
21,20,false,3,Major Banks,Finance,29858649,55,3,9,false,31,18,97804019,4,64068543,87,41,29,62
64,7,false,2,Industrial Machinery/Components,Technology,5881128,93,2,3,false,27,27,33510121,4,74432175,2,54,20,95
63,13,true,2,n/a,n/a,44378170,50,4,3,true,28,15,59392909,5,70989756,32,61,43,21
33,18,false,3,"Computer Software: Programming, Data Processing",Technology,41422969,14,2,7,false,4,8,15391116,4,36298538,15,89,24,75
59,9,true,2,Oil & Gas Production,Energy,14419445,88,2,4,false,36,26,39259635,5,77858280,42,96,12,13
18,9,true,2,Major Pharmaceuticals,Health Care,46513046,19,1,1,false,55,24,83969304,3,64907460,66,46,34,7
60,15,true,2,Real Estate Investment Trusts,Consumer Services,22111603,98,4,1,false,24,3,30933925,3,62043455,20,72,24,60
73,8,false,1,Packaged Foods,Consumer Non-Durables,20367031,13,3,10,false,22,19,99457980,5,63896428,76,82,36,55
46,8,false,2,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries,48315584,17,2,3,true,41,11,41134608,5,31203308,4,72,32,62
33,20,true,3,Business Services,Finance,35753080,71,4,5,false,43,21,46929407,3,68972149,40,75,9,46
48,12,true,3,n/a,n/a,48052593,65,1,8,true,17,10,2874844,5,94795554,18,58,41,78
61,1,false,3,Business Services,Finance,49113687,60,1,4,true,62,12,38933863,3,60243180,81,88,37,57
19,16,true,1,n/a,n/a,33781430,16,3,9,true,44,6,3635607,5,43000243,6,55,31,81
50,11,true,2,Major Banks,Finance,12893304,54,2,5,false,59,3,55380520,4,40710253,23,73,7,34
42,12,true,3,Investment Managers,Finance,46885213,75,4,4,true,51,18,13974237,5,15563422,22,95,7,63
70,8,false,3,n/a,n/a,11088231,85,4,6,true,34,10,31813834,3,22651395,48,88,14,79
19,20,true,3,n/a,n/a,27803126,61,2,2,true,40,18,46081127,5,24705265,52,40,12,68
66,2,false,3,Oil Refining/Marketing,Energy,14364689,19,2,0,true,60,17,5879478,3,62780437,45,97,42,71
52,11,false,2,Major Pharmaceuticals,Health Care,11020489,86,4,0,false,55,18,71710555,4,97145043,36,45,17,28
19,5,true,2,Biotechnology: Commercial Physical & Biological Resarch,Health Care,39981691,97,1,9,true,14,24,3691515,5,43999103,76,42,20,63
26,10,false,1,Steel/Iron Ore,Basic Industries,3822265,67,1,6,false,38,11,12504085,5,4422524,65,33,40,79
19,6,true,2,Computer Software: Prepackaged Software,Technology,33874052,21,4,9,false,67,10,35668440,4,7291241,70,48,15,43
46,17,true,1,n/a,n/a,27084421,31,2,2,false,32,22,84986578,4,73723181,36,91,8,71
64,19,false,1,Major Pharmaceuticals,Health Care,9041825,65,2,0,true,69,7,92815438,3,10574093,49,50,6,58
56,13,true,1,Television Services,Consumer Services,12880003,78,1,7,true,1,2,61625764,3,10788867,6,87,44,49
36,0,false,3,Environmental Services,Consumer Non-Durables,36601670,97,2,9,true,15,7,14636020,3,33829256,48,98,38,14
33,2,true,3,Plastic Products,Consumer Non-Durables,47323895,68,4,0,true,62,34,8545245,5,28596320,85,34,22,90
18,15,false,1,Professional Services,Technology,28714844,6,1,10,false,50,6,86870067,4,15626797,83,59,42,62
51,11,false,3,EDP Services,Technology,37546341,47,3,5,false,9,8,4952128,3,57926245,11,58,6,22
20,11,true,2,Radio And Television Broadcasting And Communications Equipment,Technology,49598773,2,3,4,true,51,27,47507619,3,14903672,83,83,17,69
25,14,false,2,Property-Casualty Insurers,Finance,10763511,73,4,2,true,34,24,61916900,5,38463915,60,80,28,43
52,2,true,1,Major Banks,Finance,6193407,92,3,2,true,35,33,30612257,4,60381577,65,69,25,10
48,6,false,2,n/a,n/a,8962377,55,4,6,false,53,2,63718017,4,80992632,30,84,11,6
47,13,false,1,Metal Fabrications,Capital Goods,30324757,83,3,9,true,55,19,56493074,5,29801230,82,34,14,73
46,12,false,2,n/a,n/a,24709558,45,1,4,false,9,23,64151323,5,38673319,25,82,22,41
63,9,false,1,Other Specialty Stores,Consumer Services,29329158,96,1,3,true,55,32,57757376,3,53419561,21,88,19,57
72,18,false,1,Water Supply,Public Utilities,31931202,93,2,6,true,43,26,28512033,4,89724555,10,39,27,62
37,8,false,2,Major Banks,Finance,41982029,57,1,9,true,1,9,57771837,5,32526105,33,70,32,41
48,12,true,1,n/a,n/a,35404040,96,1,8,false,35,22,4764346,3,96629106,57,93,31,71
53,14,false,3,n/a,n/a,30552817,55,1,2,false,36,23,3477471,5,77408933,43,59,6,11
22,14,false,1,Banks,Finance,27050294,24,1,4,true,69,18,99975496,4,24441379,37,30,18,69
24,4,false,2,n/a,n/a,8816514,60,1,7,false,4,17,37857005,3,77736890,29,33,21,33
19,18,false,3,Computer Software: Prepackaged Software,Technology,37461763,4,2,5,true,58,27,33725591,3,43363338,80,56,24,13
63,8,true,3,n/a,n/a,35983253,76,2,3,true,10,14,21897808,5,45849870,47,62,36,28
49,17,true,2,n/a,n/a,20857471,45,1,5,false,15,28,1643332,5,71552639,10,74,21,24
68,6,false,3,Hotels/Resorts,Consumer Services,35187751,64,4,3,true,57,10,73021494,3,73690314,56,94,20,12
22,20,false,2,Hotels/Resorts,Consumer Services,9790316,55,1,3,false,17,6,89629872,4,96108644,90,90,29,68
24,7,false,2,n/a,n/a,42595753,47,4,0,false,11,3,22257311,5,3436308,87,34,19,33
31,15,false,1,Auto Parts:O.E.M.,Capital Goods,7497409,86,1,3,true,29,19,21016702,5,72251899,49,83,39,61
66,4,false,2,Office Equipment/Supplies/Services,Miscellaneous,37631536,13,2,9,false,64,9,51397030,5,98363974,8,50,6,28
75,11,false,1,Newspapers/Magazines,Consumer Services,41738056,91,3,7,false,38,26,49623599,5,2655726,25,43,12,27
48,2,false,3,Finance: Consumer Services,Finance,49538242,100,3,0,true,68,27,15169109,4,94458329,81,38,17,66
72,12,false,3,Major Pharmaceuticals,Health Care,26209362,47,2,7,false,56,14,50018890,3,18218975,75,91,10,44
24,14,false,2,Industrial Machinery/Components,Capital Goods,7107402,15,3,2,false,62,30,52165010,4,26678925,70,65,17,23
63,0,true,1,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,14429355,46,4,3,false,28,27,9196396,4,92040626,18,94,34,93
35,0,false,3,Oil & Gas Production,Energy,31473037,62,3,5,false,40,29,7295936,3,10973734,45,58,10,35
41,8,true,3,Business Services,Finance,14636920,19,4,1,true,26,8,65722772,5,12341273,91,41,12,37
55,6,true,3,Television Services,Consumer Services,7348930,2,1,8,false,63,4,63565315,4,53297972,75,80,5,79
38,3,true,2,Major Pharmaceuticals,Health Care,10213020,31,4,6,false,63,28,72808522,4,808502,14,35,30,15
51,1,true,1,Major Pharmaceuticals,Health Care,18324665,80,4,9,false,16,29,49293358,5,92758199,74,32,19,9
41,10,true,2,n/a,n/a,46225088,95,3,1,true,39,28,40481337,3,65671304,24,45,36,60
47,10,true,3,Water Supply,Public Utilities,20779853,69,4,4,false,49,27,63429765,4,53812425,59,81,33,86
39,9,false,2,Medical Specialities,Health Care,45545939,58,4,7,true,57,24,62848662,5,8718201,62,54,15,48
34,13,true,2,Auto Manufacturing,Capital Goods,36902462,75,2,2,true,24,19,42446794,4,71165875,57,96,39,50
46,11,true,3,Oil & Gas Production,Energy,34203017,7,3,7,false,21,15,74576833,3,29728659,64,85,12,80
46,17,true,1,Major Banks,Finance,46112810,43,3,1,false,10,21,23075566,4,12145902,15,100,19,24
26,15,true,1,Real Estate Investment Trusts,Consumer Services,44634660,95,3,8,false,56,19,26890627,5,79253963,11,52,28,50
69,8,false,1,Real Estate Investment Trusts,Consumer Services,48608131,34,2,8,false,25,9,64715963,5,82187340,48,66,17,16
29,9,true,2,Semiconductors,Technology,20210162,74,1,0,true,6,32,38078446,3,72920448,50,34,32,51
63,6,true,1,n/a,n/a,11498602,81,4,3,false,62,34,7855983,4,44439713,73,62,12,88
41,16,false,3,EDP Services,Technology,41748310,22,4,0,true,27,3,22814531,3,48132457,69,97,26,61
55,9,false,1,Property-Casualty Insurers,Finance,49805633,67,1,6,true,47,14,11152616,3,26128519,80,45,25,53
25,7,false,1,Telecommunications Equipment,Consumer Services,6702214,93,4,0,false,64,20,53720030,4,37574786,20,57,29,47
28,1,true,2,Air Freight/Delivery Services,Transportation,34325146,71,3,8,true,28,13,94952241,3,88379720,17,98,44,21
20,6,true,3,EDP Services,Technology,44983204,93,4,0,true,40,21,36958277,4,26692532,18,34,24,78
22,7,true,3,n/a,n/a,48552882,95,2,5,true,18,18,53497641,5,31226758,12,40,23,39
53,19,false,2,Semiconductors,Technology,8195797,63,3,1,false,54,31,34413118,4,86090689,9,91,17,63
73,4,false,1,Industrial Machinery/Components,Energy,20908354,14,4,3,true,24,1,87865401,4,7681546,32,35,39,63
59,18,true,1,Savings Institutions,Finance,39380577,70,1,7,false,38,32,49596014,5,10777819,72,49,11,30
62,0,true,2,Hotels/Resorts,Consumer Services,40688613,33,2,5,false,39,33,14207322,5,89420178,8,95,6,94
30,17,true,1,Major Banks,Finance,26385735,97,2,4,false,39,4,2838914,4,75494050,9,48,42,13
20,20,true,1,n/a,n/a,47622465,78,3,1,false,9,20,48595117,3,91185056,23,79,30,24
31,20,true,3,Major Pharmaceuticals,Health Care,31502478,51,4,2,false,55,18,75916230,5,78476691,70,66,42,10
31,14,true,2,Other Consumer Services,Consumer Services,5491823,97,3,9,false,48,15,95152183,4,60018414,71,32,35,89
63,2,false,1,n/a,n/a,41742935,37,1,3,true,36,13,72863864,3,48425493,44,96,37,8
52,2,true,2,Miscellaneous manufacturing industries,Consumer Durables,29226692,86,2,2,true,7,28,48080627,4,30903222,85,33,36,21
40,4,true,3,n/a,n/a,19614843,25,1,7,true,46,34,62806319,5,24296409,28,39,22,70
34,8,false,1,Television Services,Consumer Services,35282469,9,1,7,false,50,21,89511892,5,93305958,36,89,29,30
19,0,false,2,Department/Specialty Retail Stores,Consumer Services,2971751,36,3,7,false,58,14,62986115,5,69200805,93,72,39,82
19,9,true,1,Industrial Machinery/Components,Capital Goods,22100655,98,4,4,true,31,34,3806635,5,43496909,7,42,17,21
50,13,true,3,n/a,n/a,44701710,35,2,10,true,12,18,3756708,5,66374853,29,30,41,88
67,16,true,1,Natural Gas Distribution,Public Utilities,47233338,97,3,7,false,41,22,3482504,3,55733049,9,30,43,52
71,19,false,2,Savings Institutions,Finance,2184025,36,4,1,true,10,34,36360513,3,91398683,52,60,22,30
69,7,true,3,Oil & Gas Production,Energy,41558967,94,1,0,true,41,3,7204111,4,62324120,6,93,29,30
26,13,true,2,Semiconductors,Technology,18673785,65,1,8,false,30,14,88287267,3,75231140,84,60,23,51
43,10,true,3,n/a,n/a,40851435,25,2,2,false,18,4,16848764,4,10082361,26,90,17,73
59,17,true,3,Major Banks,Finance,31380574,85,3,5,false,45,2,23122240,4,25317232,31,44,31,74
48,0,false,3,n/a,n/a,4119296,6,4,7,false,50,25,41528498,5,24340255,10,77,30,34
45,14,true,3,Miscellaneous manufacturing industries,Consumer Durables,5065889,81,1,0,true,49,23,17799039,4,29914996,6,36,12,37
36,5,false,3,n/a,n/a,48140677,10,1,3,false,1,23,90655128,4,25924758,10,100,8,37
32,8,true,1,n/a,n/a,8830518,84,3,6,true,52,11,30041858,4,99116085,62,54,44,62
68,13,true,1,Computer Software: Prepackaged Software,Technology,8805070,37,3,2,true,45,16,62306504,4,29954204,7,78,20,17
43,18,true,3,Major Pharmaceuticals,Health Care,41104669,91,3,1,true,68,6,13392221,3,76170951,56,65,37,13
19,0,false,2,Investment Bankers/Brokers/Service,Finance,11025663,90,3,10,true,58,27,71324257,3,86263554,68,95,19,56
53,19,false,1,Oilfield Services/Equipment,Energy,26924112,89,3,3,true,54,18,69911471,4,43974231,85,99,37,65
24,12,true,3,Power Generation,Public Utilities,29993465,36,2,5,false,2,28,30485570,3,33997264,30,45,40,10
47,17,true,3,n/a,n/a,20617803,5,2,0,true,61,17,68139552,3,75775331,74,91,34,80
48,9,false,1,Hotels/Resorts,Consumer Services,41862677,45,2,8,true,49,19,69864838,3,63516657,36,41,37,83
58,13,true,2,Real Estate Investment Trusts,Consumer Services,107806,18,3,9,true,45,23,24668243,4,6720023,47,73,25,48
75,11,false,2,Real Estate,Finance,45874572,32,3,6,false,37,35,10860487,5,77814148,29,75,10,42
74,17,false,3,Major Banks,Finance,47590630,56,4,9,true,8,7,13608721,4,22540252,77,73,44,8
61,6,false,1,Industrial Machinery/Components,Capital Goods,31329113,57,4,1,false,18,5,79557943,3,46223561,87,40,21,30
64,20,true,3,Beverages (Production/Distribution),Consumer Non-Durables,36557236,63,1,7,true,38,22,1254262,5,32118269,94,54,17,93
72,9,true,1,Hotels/Resorts,Consumer Services,392389,27,2,2,true,66,25,88573232,5,57593264,85,78,11,11
59,8,true,3,Services-Misc. Amusement & Recreation,Consumer Services,25641635,100,2,1,true,59,32,83346844,5,5799738,53,89,6,75
44,3,true,1,n/a,n/a,4844927,96,2,4,false,38,28,15913007,5,62575392,49,67,25,38
37,8,false,1,Savings Institutions,Finance,38245093,60,3,0,false,21,5,22017964,5,59279901,76,31,24,16
57,20,false,2,Integrated oil Companies,Energy,8457091,14,2,0,false,30,34,70680261,4,64389933,22,57,7,66
40,15,false,2,Computer Manufacturing,Technology,8077865,81,1,0,false,3,17,57229150,5,6447725,25,75,18,86
51,9,false,3,Medical/Nursing Services,Health Care,31022122,66,1,6,true,9,11,62106401,5,18462432,14,93,16,88
73,0,false,1,Computer Software: Prepackaged Software,Technology,22102778,16,2,10,true,17,9,84677525,3,46679350,83,52,20,37
46,10,false,3,Major Pharmaceuticals,Health Care,34026009,25,3,8,false,67,6,80405748,5,96944579,21,60,32,91
73,16,true,2,Homebuilding,Capital Goods,1107005,27,2,10,false,49,34,85157148,5,51798119,8,71,30,59
22,6,true,3,n/a,n/a,29129465,55,1,5,false,20,32,25437911,3,28901790,37,46,26,76
43,8,false,2,Computer Software: Prepackaged Software,Technology,8757694,73,2,6,false,39,8,57561249,3,47218195,83,59,25,84
49,5,true,1,n/a,n/a,22978028,34,3,5,true,44,19,86171999,4,22304437,84,55,32,57
72,10,false,3,Railroads,Transportation,28676895,86,1,6,false,11,28,50354023,4,54354152,74,59,16,70
43,7,false,1,Oilfield Services/Equipment,Energy,36923507,73,3,9,false,3,23,58015589,3,19254331,57,83,39,60
43,8,false,3,Telecommunications Equipment,Public Utilities,29543247,40,2,10,true,19,29,66909995,3,21445446,53,94,14,38
41,0,true,3,n/a,n/a,35200856,84,4,7,false,11,21,46624426,4,95199560,27,98,16,13
41,20,true,1,Computer Software: Prepackaged Software,Technology,23408874,52,3,3,true,56,21,64754461,4,96030318,58,53,39,65
30,6,false,2,Oil Refining/Marketing,Transportation,12504980,97,2,10,false,13,30,17146050,3,62380528,33,40,37,55
21,0,true,2,n/a,n/a,28122991,41,2,3,false,35,21,86114337,4,90775134,14,69,16,11
36,4,false,3,Other Consumer Services,Consumer Services,15336633,70,2,6,true,21,22,23265262,4,81891110,37,30,21,19
63,7,false,2,Television Services,Consumer Services,5708303,22,1,3,true,69,3,93076946,3,72302181,42,40,25,36
20,13,false,2,Industrial Machinery/Components,Miscellaneous,46531799,38,4,8,true,63,17,5984966,5,84074184,92,75,10,68
18,9,false,2,Semiconductors,Technology,13636780,9,2,9,true,14,16,34921392,4,99494174,26,84,5,35
28,20,false,3,Packaged Foods,Consumer Non-Durables,33052522,76,3,7,false,67,24,10807559,4,90764770,77,74,29,32
22,14,false,3,Major Banks,Finance,26512041,46,4,1,true,40,24,1332826,3,32049131,31,64,34,22
73,18,true,3,n/a,n/a,38236345,79,1,0,false,55,21,5052961,3,78338339,49,47,12,5
